Bandit,Reward,Algorithm
0,1.0,EpsilonGreedy
0,1.0,EpsilonGreedy
0,1.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
0,1.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
1,2.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
1,2.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
2,3.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
3,4.0,EpsilonGreedy
