Bandit,Reward,Algorithm
1,2.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
2,3.0,ThompsonSampling
3,4.0,ThompsonSampling
3,4.0,ThompsonSampling
3,4.0,ThompsonSampling
3,4.0,ThompsonSampling
3,4.0,ThompsonSampling
3,4.0,ThompsonSampling
3,4.0,ThompsonSampling
3,4.0,ThompsonSampling
3,4.0,ThompsonSampling
3,4.0,ThompsonSampling
3,4.0,ThompsonSampling
3,4.0,ThompsonSampling
3,4.0,ThompsonSampling
3,4.0,ThompsonSampling
3,4.0,ThompsonSampling
3,4.0,ThompsonSampling
3,4.0,ThompsonSampling
3,4.0,ThompsonSampling
3,4.0,ThompsonSampling
3,4.0,ThompsonSampling
3,4.0,ThompsonSampling
3,4.0,ThompsonSampling
3,4.0,ThompsonSampling
3,4.0,ThompsonSampling
3,4.0,ThompsonSampling
3,4.0,ThompsonSampling
3,4.0,ThompsonSampling
3,4.0,ThompsonSampling
3,4.0,ThompsonSampling
3,4.0,ThompsonSampling
3,4.0,ThompsonSampling
3,4.0,ThompsonSampling
3,4.0,ThompsonSampling
3,4.0,ThompsonSampling
3,4.0,ThompsonSampling
3,4.0,ThompsonSampling
3,4.0,ThompsonSampling
3,4.0,ThompsonSampling
3,4.0,ThompsonSampling
3,4.0,ThompsonSampling
3,4.0,ThompsonSampling
3,4.0,ThompsonSampling
3,4.0,ThompsonSampling
3,4.0,ThompsonSampling
3,4.0,ThompsonSampling
3,4.0,ThompsonSampling
3,4.0,ThompsonSampling
3,4.0,ThompsonSampling
3,4.0,ThompsonSampling
3,4.0,ThompsonSampling
3,4.0,ThompsonSampling
3,4.0,ThompsonSampling
3,4.0,ThompsonSampling
3,4.0,ThompsonSampling
3,4.0,ThompsonSampling
3,4.0,ThompsonSampling
3,4.0,ThompsonSampling
3,4.0,ThompsonSampling
3,4.0,ThompsonSampling
3,4.0,ThompsonSampling
3,4.0,ThompsonSampling
3,4.0,ThompsonSampling
3,4.0,ThompsonSampling
3,4.0,ThompsonSampling
3,4.0,ThompsonSampling
3,4.0,ThompsonSampling
3,4.0,ThompsonSampling
3,4.0,ThompsonSampling
3,4.0,ThompsonSampling
3,4.0,ThompsonSampling
3,4.0,ThompsonSampling
3,4.0,ThompsonSampling
3,4.0,ThompsonSampling
3,4.0,ThompsonSampling
3,4.0,ThompsonSampling
3,4.0,ThompsonSampling
3,4.0,ThompsonSampling
3,4.0,ThompsonSampling
3,4.0,ThompsonSampling
3,4.0,ThompsonSampling
3,4.0,ThompsonSampling
3,4.0,ThompsonSampling
3,4.0,ThompsonSampling
3,4.0,ThompsonSampling
3,4.0,ThompsonSampling
3,4.0,ThompsonSampling
3,4.0,ThompsonSampling
3,4.0,ThompsonSampling
3,4.0,ThompsonSampling
3,4.0,ThompsonSampling
3,4.0,ThompsonSampling
3,4.0,ThompsonSampling
3,4.0,ThompsonSampling
3,4.0,ThompsonSampling
3,4.0,ThompsonSampling
3,4.0,ThompsonSampling
3,4.0,ThompsonSampling
3,4.0,ThompsonSampling
3,4.0,ThompsonSampling
3,4.0,ThompsonSampling
3,4.0,ThompsonSampling
3,4.0,ThompsonSampling
3,4.0,ThompsonSampling
3,4.0,ThompsonSampling
3,4.0,ThompsonSampling
3,4.0,ThompsonSampling
3,4.0,ThompsonSampling
3,4.0,ThompsonSampling
3,4.0,ThompsonSampling
3,4.0,ThompsonSampling
3,4.0,ThompsonSampling
3,4.0,ThompsonSampling
3,4.0,ThompsonSampling
3,4.0,ThompsonSampling
3,4.0,ThompsonSampling
3,4.0,ThompsonSampling
3,4.0,ThompsonSampling
3,4.0,ThompsonSampling
3,4.0,ThompsonSampling
3,4.0,ThompsonSampling
3,4.0,ThompsonSampling
3,4.0,ThompsonSampling
3,4.0,ThompsonSampling
3,4.0,ThompsonSampling
3,4.0,ThompsonSampling
3,4.0,ThompsonSampling
3,4.0,ThompsonSampling
3,4.0,ThompsonSampling
3,4.0,ThompsonSampling
3,4.0,ThompsonSampling
3,4.0,ThompsonSampling
